id,trigger,conditions,script,text,options,notes
"#END Bribe",,,,,,
"#END Hegemony",,,,,,
"#END Factions",,,,,,
"#END Portmasters",,,,,,
,,,,,,
# Base,,,,,,
SDE_BribeWarning,DialogOptionSelected,"$option == SDE_Bribe",,"You open your mouth to speak, but hesitate. This is a **bribe**. If this goes wrong, it can go quite badly, including significant reputation loss scaling with current reputation, patrols being summoned, etc.

Their reaction, if you continue, is highly dependant on many factors. Faction, personal reputation, faction reputation, condition of the market, condition of the system, the faction as a whole, your previous actions, and the list goes on and on.

Different factions will have wildly different reactions to this. Different personalities will also react differently. For example, a business-driven tri-tachyon quartermaster will rarely blow the whistle, however a stoic and loyal hegemony portmaster may.","1:SDE_BribeContinue:Continue with your speech
2:SDE_BribeExit:Close your mouth and awkwardly continue with your conversation",
SDE_BribeExit,DialogOptionSelected,"$option == SDE_BribeExit",,"test",,
"#END Base",,,,,,

